Word,Frequency
Explain,39
investigating,30
WarmUp,18
arrange,24
assign,12
Provide,9
handout,9
presentation,96
supplies,33
markers,27
scissors,15
glue,12
instruct,18
collect,60
details,90
prepare,21
wellconsidered,6
AREAS,6
RESEARCH,6
Voice,27
Underwater,12
Systems,102
predestination,6
services,185
butlers,12
Models,9
Mobile,39
QUESTIONS,9
FOR,45
CONSIDERATION,6
BASICS,6
TECHNOLOGY,18
assist,75
candor,72
capability,39
LIFESTYLE,6
ANALYSIS,6
sphere,15
transportation,24
negatively,6
alter,30
behave,39
present,126
4,329
WRAPUPHOMEWORK,30
investigated,6
Choose,33
presented,87
generations,39
Prepare,21
explores,72
Proposals,6
address,57
supplement,12
interaction,84
indirectly,12
safety,99
efficiency,33
Present,30
posters,24
Be,45
illustrations,9
additional,72
showcase,9
aha,3
moment,174
spurred,9
contestant,24
existence,66
notable,30
framework,12
alternative,75
describes,111
Centaur,3
Warfighting,3
centaur,3
describe,90
tightly,9
dominate,6
competitions,48
Over,138
Dolly,21
musicals,15
performed,90
spoofed,6
fetishized,3
charming,27
enthusiasts,24
wall,213
closely,57
Channing,3
starred,18
Broadway,171
revival,141
Barbra,3
Streisand,3
brassy,3
belters,3
Phyllis,12
Betty,21
arable,3
Martin,54
Ethel,6
Merman,3
Ginger,3
Rogers,39
Ezralow,3
musicality,6
scenes,69
lucas,33
practice,54
Wont,12
sequence,57
Face,3
Eventually,30
key,108
rhythmic,6
dribbling,3
alley,6
exuberant,9
sliding,9
Come,3
Together,12
dancers,24
suits,21
strut,3
lock,9
Want,3
soldiers,96
execute,24
unison,3
draftees,6
Ezralows,3
studio,84
cardio,6
scrimmage,6
contact,39
colliding,3
1959,12
confounded,51
colleague,42
coining,6
exception,11
Dow,18
Stephen,153
Brown,146
William,114
Goetzmann,3
Yale,45
Kumar,3
Cornell,51
Instead,150
divine,9
unambiguous,3
hamilton,3
editorials,3
relied,27
detect,72
Sept,24
1930,9
1997,75
margin,15
Their,150
Finance,6
Musicians,3
repetitive,27
breeds,3
respectability,9
Listen,6
musicians,45
Night,36
Live,42
warmup,24
shut,33
playback,3
Alex,84
solid,39
celebrating,21
April,219
victory,48
Santa,27
Anita,36
Derby,6
arefavorites,3
frontside,15
slot,21
gate,6
horse,33
Gato,3
del,18
Sol,3
1982,33
derby,9
ABC,63
SEABISCUIT,3
2003,60
Racehorse,3
Depression,9
out900,3
Sci,21
Fi,21
ASSAULT,3
Army,69
war,132
Navy,96
Seals,3
unit,129
down900,3
Hallmark,3
WHERE,18
THERES,6
WILL,3
worker,57
womans,6
conniving,12
longest,3
relationships,69
Marion,12
Ross,30
whale,3
HBO,12
MIKE,12
EPPS,3
INAPPROPRIATE,3
BEHAVIOR,3
standup,18
comedy,240
Jose,36
Improv,3
Epps,3
riffs,15
adultsonly,3
proliferation,15
infiltration,3
celebrities,6
jails,3
confronting,3
pimps,3
KATHRYN,6
SHATTUCK,6
Odyssey,93
brick,51
Part,30
Aristotle,6
Captain,12
9000,12
stood,51
monotony,3
counterparts,9
fascinating,57
computerilliterate,3
filmgoers,6
None,30
touches,24
changetheworld,6
Credit,3
card,96
albeit,15
flawed,24
Cardholder,3
liability,9
fraudulent,9
therefore,27
incentive,6
events,126
normal,51
purchases,9
vendors,12
vigilant,3
freezing,6
trip,69
questionable,12
abeyance,3
contacts,12
valid,6
Creepy,3
probing,3
habits,18
hoop,9
jargon,9
Kobe,9
tune,21
Land,6
mumbo,3
Universe,6
kitty,9
controlled,129
whereas,12
latter,30
basically,63
attuned,12
visual,54
Secret,18
Lab,84
Develops,12
topsecret,6
chasing,12
outer,51
Rodney,48
applies,51
NEW,135
YORK,108
Bruce,39
Crawford,21
Perry,27
Riviera,3
Beach,18
risk,108
expense,15
breaks,15
somebody,36
Intellicorp,24
supplier,36
Harvey,33
Heartland,15
Prometheus,15
203,9
sortof,9
prequel,9
Alien,12
riley,21
spooky,45
suspenseful,12
ultimately,90
disappointing,30
Marrying,9
visceral,21
punch,39
scrappy,15
heroism,9
cosmic,18
inquiries,9
nature,153
ambitions,24
unravel,21
plot,99
pedestrian,21
illogical,12
naomi,9
intrepid,9
Fassbender,9
soulful,15
ensemble,57
sustain,9
Speaking,18
reporters,42
Amit,9
signal,57
announcements,18
truly,81
universal,39
counted,9
consumed,6
pas,33
trouble,51
doubled,21
cash,60
quarter,78
Fifth,33
Generation,36
initiative,69
endured,3
budget,36
disappointments,9
fearsome,6
Similarly,24
Superspeed,9
supercomputers,60
proved,90
MAC,12
meeting,102
timesharing,27
batch,24
terminals,15
terminal,30
interrupt,9
switch,36
typing,33
poor,51
interrupted,9
Well,120
94,39
deck,24
Whereas,9
50,201
terrible,36
carefully,30
bugs,15
Potentially,6
tantalizing,12
memristors,6
intermediate,9
synapses,15
German,84
expressionist,6
Charlie,36
chaplains,6
overcome,30
inherent,18
repetition,9
Cadillac,15
metrics,3
automotive,36
excellence,3
Jonas,6
theyve,33
daring,6
Daring,3
1989,45
Ballard,51
mccain,18
ancient,57
discovery,54
fourthcentury,9
Roman,24
Isis,3
Jason,87
artifacts,24
Sicily,3
sailing,3
Rome,9
Carthage,3
North,81
African,30
city,144
antiquity,6
presently,30
tunes,9
vaughn,12
Bell,51
clinical,12
psychologist,33
anxiety,33
pointed,66
Upshot,6
whichJohn,6
jerkoff,75
Claire,21
pose,48
airing,27
Seeks,6
Expand,36
China,105
Local,6
Help,60
capital,237
firms,123
expand,18
fastestgrowing,9
LinkedIns,6
thereby,9
Upstarts,12
Raid,12
Giants,21
Talent,21
Unicorns,12
Uber,129
valued,30
hiring,63
mappingNYT,12
Depiction,12
Stirs,12
Debate,18
Work,30
Culture,36
NowAlibaba,12
Foxconn,48
Invest,72
Snapdeal,18
Snapdealcom,18
500,195
alabama,30
softball,24
fundraising,51
Indian,45
electroniccommerce,18
Asian,63
TaxiHailing,24
StartUps,84
Give,27
Run,33
Money,33
Three,99
rivals,48
attracted,66
sums,33
fresh,75
total,105
58,90
CBI,24
Insights,24
Gets,33
Investment,72
Tata,60
India,93
Opportunities,30
leverage,30
NEWS,138
smother,39
Let,66
Own,48
Cars,42
Chicagobased,36
reserve,36
destination,51
FORTUNE,36
wipe,60
Electronics,69
Vicarious,54
add,132
radical,30
outright,3
heresy,9
brooks,18
exhibit,57
intimations,3
consciousness,126
react,48
Genghis,24
sixlegged,12
outfitted,21
hydroelectric,3
identical,18
driveway,6
tuned,24
infrared,51
emitted,15
warm,24
mammals,6
motors,51
mammal,6
observers,15
stalking,6
intent,12
none,81
backward,18
walked,33
internal,51
notion,45
Wordsworthian,3
recollected,3
tucked,6
tinkle,3
rhyme,3
meter,6
minds,126
poems,6
vessels,15
shards,3
physical,93
fits,27
doomed,12
friend,171
nautilus,3
shell,24
spiraling,3
chambers,3
creature,42
compartment,9
capsule,6
Other,153
consolations,3
betrayals,6
Wheelchairbound,3
muses,3
pleasure,36
bus,24
anything,171
vibrating,6
frequency,6
honeys,9
justlike,3
awkwardness,9
pure,33
gaffer,6
10000,48
bet,93
veers,3
endearing,15
Mississippi,15
rodney,42
voters,36
pulled,42
imitation,24
famed,6
Hollywood,66
Blade,30
Runner,33
Minority,9
Report,33
admiring,6
doctoral,33
evident,18
whiz,6
Hanson,27
lifetime,54
facsimile,6
Dick,60
skinlike,6
substance,15
Standing,9
description,42
Ill,69
repair,96
Elizabeth,66
noise,42
upstairs,12
trusting,6
wanting,18
threatens,30
chat,66
Something,15
serene,12
bookkeeping,6
feels,75
departed,9
husband,66
webbed,18
newsreel,12
articles,105
sues,6
employee,33
17000,9
followers,45
argues,63
deadline,12
looms,6
posting,18
Labor,24
Relations,6
Act,9
begun,75
CareerBuilder,6
employers,18
cautiously,6
optimistic,39
edf,9
majority,24
Your,36
benefit,105
tips,9
choosing,21
insurance,48
flat,33
alienated,12
scattershot,9
lack,57
review,39
evaluate,27
scale,48
random,33
critiques,12
consistent,30
objective,27
assessments,9
servers,24
comb,18
split,30
indifferent,6
nearest,12
neither,36
approves,9
disapproves,6
impulses,12
except,66
cleverly,33
letterwriting,6
ant,12
Show,60
slightest,12
twinge,9
burst,36
creates,66
perceives,6
customizing,15
Vendors,3
americans,3
scuttle,6
makeshift,3
tunnel,33
deactivate,3
traps,12
Bullock,6
omicron,6
fan,51
convention,18
Diego,36
asks,81
opponents,33
fishy,6
ancestors,12
mammalian,6
Keep,21
pragmatic,15
Could,39
creatures,60
Wherever,6
objection,6
challenges,96
biology,72
nonbiological,6
possibly,75
Perhaps,57
plausible,21
mail,33
Robosapien,51
socks,6
Aura,9
fiance,3
unpacked,3
toy,192
pressed,15
button,45
shoulder,21
blades,15
ancestor,15
specialeffects,6
glow,3
benign,12
plasticarmorplated,3
cat,63
impatient,18
instructional,6
resigned,9
rely,36
blithely,9
disregarded,6
shuffling,9
illuminated,6
palm,15
Ouch,3
ouch,12
Robosapiens,18
sturdy,6
tugboatlike,3
upper,30
lurching,9
pendulumlike,3
strenuous,3
via,93
hits,36
karate,3
cup,24
hurl,6
67,84
functions,116
postman,39
unwilling,24
Jenkins,15
attorney,6
reviewed,12
guidelines,9
concluded,24
simulations,81
recruit,30
volunteers,21
population,33
beings,99
colleagues,96
montero,6
capsize,6
depths,45
canyon,3
mile,45
spied,6
brooding,6
eggs,12
Up,63
songs,96
iTunes,6
playlist,9
album,51
itunes,3
Genius,3
onthefly,3
delete,9
lineup,30
reorder,3
Exhibition,3
awake,6
writings,18
wed,27
sane,9
arrives,18
highprofile,21
melon,72
Jeff,108
thief,36
Ashton,6
butcher,6
theorists,21
bloodline,6
fireman,15
weakness,12
cared,12
authenticity,6
recording,42
angles,12
quantity,12
realistic,45
collision,18
damage,57
Absolution,3
setup,18
Hitman,3
47,90
assassination,12
semiopen,3
routes,15
reactive,3
enjoyable,30
unpredictable,21
buffet,12
sadistic,3
improvisation,3
Mack,6
Omen,3
Stewart,33
challenged,18
signed,51
agreement,45
filing,6
Anyone,27
knows,126
countered,3
divulge,3
Interdisciplinary,24
suspect,33
grayspeak,3
grandes,3
evolution,78
interdisciplinary,18
merger,15
Pinker,9
clearest,9
synthesis,39
Mind,78
Works,18
examines,45
mechanisms,24
abilities,54
sexual,45
marriage,45
exaggerates,3
evolutionary,39
precomputational,3
Victorian,12
Darwin,9
unity,9
reject,15
locked,12
sheet,9
blank,12
dolls,33
chip,69
stores,57
letters,57
numbers,162
shapes,33
positions,81
godson,18
industries,72
comparable,33
size,117
utilized,15
expect,114
thunderous,9
sixspeaker,6
surround,6
Forget,6
triggers,15
environments,57
universe,123
names,87
Snowball,6
Fight,9
Bejeweled,6
Tumble,6
Bees,9
Bookworm,6
Deluxe,6
bestow,6
Instant,9
Sports,21
Tex,9
Wide,18
httpwwwinstantsportscom,3
holds,93
devotee,3
baseball,36
enjoy,27
Early,42
compiled,12
78,54
element,21
patented,30
displaying,15
unfolds,9
domainspecific,3
hes,165
shots,42
chuckle,6
hell,42
Islanders,3
61,54
sponsored,48
Intel,9
Island,57
produced,120
120,33
finalists,24
combined,63
484000,3
scholarships,3
tenth,3
awarded,42
digging,21
alzheimer,12
disease,45
tea,15
nanocircuitry,3
ticktacktoe,3
E,183
Rumelhart,6
Chelsea,48
Mich,15
68,81
arquillian,3
Operations,12
Naval,9
Postgraduate,6
stand,75
tell,210
engagement,27
fewer,51
lapses,6
Nevertheless,21
preaching,6
gospel,6
CASE,15
profits,27
reminds,12
frustrating,9
record,159
disclose,18
proprietary,24
CaddyTrek,6
1595,9
carriers,15
rushing,18
orders,75
Europe,57
reportedly,6
heavily,44
Parallel,3
emerging,54
guard,48
cashier,3
speaking,69
polish,3
guitar,21
lobster,3
assembly,60
hexagonal,9
navel,15
toes,6
draft,15
digitallybased,3
My,150
controllers,27
triangles,12
cell,42
stuff,132
theyll,21
compromise,6
realities,6
manufacturing,132
Wee,9
Wah,12
Shing,12
approximate,6
analog,21
digitally,6
eight,87
Chan,15
acted,48
code,138
forefront,33
salvaged,12
lunar,6
1975,24
late,123
onesecond,3
spurts,3
pausing,6
minute,96
compute,9
attempting,24
Turns,6
Swiss,51
Singapore,21
personalized,21
wealthy,24
whit,6
Turetsky,9
35,135
graduated,62
Rutgers,21
Columbia,75
neuroscience,45
43,90
Chinese,264
overeducated,3
knowledgebased,9
occupations,9
entry,66
absorb,9
armed,21
bombdisposal,9
Baghdad,9
rounds,21
Though,75
soldier,48
frontline,3
infantry,3
enemies,18
island,27
magna,15
cum,21
laude,15
edwin,6
Belmont,6
Oliver,27
selfridges,18
atheist,9
brides,6
innovator,21
affiliated,21
Lincoln,63
listened,3
Seoul,12
Lee,102
alpha,54
Few,9
electrified,3
crowd,72
briefings,6
korean,12
nuclear,108
generated,57
media,201
frenzy,12
reflection,30
gigantic,15
facing,36
Virginia,45
fastergrowing,6
Steve,135
lor,24
candidly,6
transition,15
sensing,21
Xbox,36
Dictionary,6
Faith,12
Popcorn,3
Adam,66
Hyperion,15
2295,3
cheery,9
preview,18
futurist,51
geriborg,3
boomers,9
neverhungry,3
wagging,3
feather,3
tails,9
garbage,12
Sinister,3
hacktivist,3
flood,21
denialofservice,3
oldfashioned,27
slamming,6
blocked,3
mugging,3
modifying,3
annoyance,6
secondhand,9
cellphone,30
smoke,18
assignment,21
champions,72
streak,18
tonight,42
Saturn,6
culminating,12
circuitous,9
twoyears,18
inner,18
pioneering,51
unveil,6
petit,3
250,48
wirelessly,6
networked,9
flight,138
novak,12
Washington,198
spacewalk,63
commander,30
hometown,30
hotel,72
acquainted,9
clubs,24
Darpa,105
attractive,21
enthused,3
ballroom,3
dancing,33
repeated,30
coed,3
RoseHolman,3
Indiana,15
institutes,18
atmosphere,45
geeks,6
nerds,6
son,210
centuries,21
archaeologists,3
sussed,6
Mediterranean,6
examined,18
mound,3
cannons,3
anchors,18
solidified,3
masses,9
gingerly,15
lifted,15
surface,123
windswept,9
shape,78
recalls,18
jet,30
silicon,27
Eve,33
streamlined,15
glided,6
silently,12
Lower,18
Manhattan,195
threewheeled,3
provocative,30
walls,45
icywhite,3
object,72
desire,21
stoic,12
cops,9
onlookers,6
grinned,3
gaped,3
ultralight,3
twoseater,3
backers,21
sale,102
Sources,6
ReCode,114
largely,126
geared,21
acquiring,24
talent,51
concerns,96
seemingly,48
88,39
dangerous,108
programmer,54
await,18
cloning,12
anticipated,15
mans,15
October,45
covered,36
offered,138
Pentagon,117
feat,24
particularly,138
stuck,45
promises,27
drone,54
identifying,36
avoiding,12
trees,18
regulatory,51
approval,18
mentor,33
branched,6
Prior,9
junior,18
highpowered,15
pale,15
cos,66
Among,93
advisers,15
fenian,12
Prizewinning,21
physicist,48
Anthony,39
Liu,6
completed,69
moons,45
estimates,24
finish,27
dominated,45
gray,27
Terrence,24
Sejnowski,3
neurobiology,24
La,18
jolly,9
regional,27
Competition,39
Inspiration,6
Recognition,12
pneumatic,6
plywood,3
extruded,3
aluminum,21
Milwaukee,3
removed,54
theater,96
counselor,15
diamond,15
appraiser,3
candidate,75
Hunter,21
Everyones,3
Roth,12
grin,6
composed,30
layers,27
exposing,9
categorizing,3
meaning,117
athletic,30
223,12
families,24
Robotic,36
putting,57
permanent,36
MacMurtrie,3
native,30
bible,3
arid,3
1987,42
thesis,24
Los,105
Angeles,84
pantheon,6
narcos,12
exoskeleton,3
supposed,84
akin,30
aviation,9
punches,3
switching,12
worth,102
consist,12
conform,15
Too,3
practicality,6
wandering,15
Electrolux,6
trilobites,3
released,123
2002,51
updated,39
rolled,18
Colin,24
editorial,21
Matter,12
decadeslong,12
crashing,15
disappointment,27
panders,3
myth,18
buzzy,3
shorts,6
premieres,3
sundance,3
Spike,24
documentary,105
Rory,6
Fence,3
inadequate,6
StatesMexico,3
riff,12
Whos,21
Afraid,6
wolf,6
Walter,78
Trip,9
powered,39
fairly,36
poses,18
chilling,15
paint,54
Mona,3
Hamlet,12
produce,114
quantum,42
mechanics,39
relativity,9
teaches,51
Mason,9
methodically,9
Unique,3
prove,66
boundaries,12
humankind,24
fundamentally,36
inviolable,3
cogent,3
illustrate,12
abstract,66
deft,15
analogies,3
anecdotes,9
courted,3
Chicago,57
knew,108
certainty,15
mathematics,69
Proponents,6
convince,27
algorithm,78
uniqueness,6
witty,12
informal,15
convinces,6
duplicating,3
Jacqueline,9
Boone,3
logical,69
inference,15
theories,39
remain,87
exotic,12
workhorses,6
Curiosity,9
Rover,9
US,126
400pound,6
180kilogram,6
load,27
kilometers,6
beast,6
burden,12
consortium,33
warmed,12
inch,60
163meter,6
rolling,33
400000,15
gamut,9
spreadsheets,12
templates,6
befits,3
Baker,24
technophile,3
themes,48
undergrad,3
picks,36
maturation,3
Skeptics,6
complain,24
yielding,27
benefits,33
revolution,63
humbug,3
Knight,18
collaborating,12
comedians,15
hone,6
adapt,39
routine,51
detecting,24
laughter,18
applause,6
snappy,3
cutdown,3
inevitable,39
hecklers,3
1996,30
Bates,3
dramas,6
Sun,48
pact,9
chipmanufacturing,3
fabrication,6
facilities,21
licensed,3
unbiased,12
incorporate,33
expensive,93
Explorer,21
Hes,72
lately,24
Kim,30
tonsil,3
Yesterday,6
sentenced,6
camp,33
weapon,60
thinks,72
Bond,9
hollowedout,3
army,45
skeletons,3
stroking,6
thumbnail,3
sketch,15
imaginary,21
subsidiaries,3
candy,27
HewlettPackard,9
copy,24
merrily,15
lynch,3
Read,51
Financial,348
jog,6
memory,132
imaginative,21
pet,48
1999,75
2006,42
2015,57
Pepper,15
fourfoottall,15
pound,27
1900,15
evaluating,9
amount,54
probabilistic,9
Everyone,45
dog,180
Add,6
advantage,57
rescue,63
league,30
corners,27
WASHINGTON,45
Researchers,90
CarnegieMellon,42
Pittsburgh,66
resembles,39
daddylonglegs,3
rugged,6
financing,75
Underground,9
notice,48
achieved,15
diverse,81
pushy,3
inquisitive,9
wriggled,3
assumed,21
manner,42
heroic,9
south,24
ridge,6
Mount,33
Everest,3
alien,87
troll,6
blackness,3
Pacific,36
trench,6
swim,18
sewer,21
pursuit,36
evildoer,3
welcome,27
rescuing,3
sleeping,6
smoky,6
apartment,63
fought,6
fire,69
Contact,6
melbournecoal,6
emailing,6
Newsletter,60
morning,159
afternoonMergers,12
Acquisitions,108
Says,33
Buy,36
Back,66
Shares,18
nest,60
cosmetics,21
82,57
Continental,39
Acquire,18
penance,42
19,114
Billion,78
hoses,27
belting,21
equity,135
Carlyle,21
Reuters,180
REUTERS,156
Charter,18
CEO,27
Pressing,18
Right,48
Buttons,18
Time,108
Warner,75
Cable,18
rutledge,18
propose,26
slate,18
replacement,39
directors,36
enlisted,21
ally,24
bid,42
Jeffrey,27
goldarn,18
BreakingviewsDealBook,18
Former,24
Barclays,84
Chief,27
Looks,18
Africa,36
Atlas,45
Mara,18
acquire,27
currency,24
commodity,24
risks,69
continent,21
Vodafone,36
Bids,18
Ono,36
Spanish,51
operator,87
95,75
citing,156
unidentified,150
INVESTMENT,24
BANKING,24
Announces,30
12000,63
Job,27
Cuts,54
lender,24
cut,117
restructuring,39
posted,93
fourthquarter,24
514,24
8439,27
millionDealBook,24
Cellar,24
Nice,24
Bouquet,27
Bottled,24
Asset,24
banker,39
funds,99
specifically,60
investing,69
wines,27
imbibing,24
profit,42
welles,27
ribs,30
Names,30
Head,66
Retail,27
mathon,27
interim,33
basis,93
serve,117
committeeDealBook,24
Goldman,117
Promotes,27
Ashok,48
Varadhan,48
served,63
macro,36
securities,30
heads,75
Isabelle,24
Pablo,36
salami,24
roleDealBook,24
sacks,96
Partners,36
Exercise,24
Options,24
Sixtyfour,24
exercised,24
options,99
Suspends,24
Bankers,24
Hiring,30
Investigation,27
investigates,33
chemicals,36
considering,57
inDealBook,24
Banks,78
Announcing,24
Earnings,24
Lex,24
blogs,42
Armstrong,27
Cotterill,24
Deutsche,24
PRIVATE,33
EQUITY,33
kir,36
Close,45
Mutual,33
Funds,30
setback,36
Kohlberg,36
travis,39
Roberts,54
investorsDealBook,30
Private,96
Equity,90
Deal,45
Makers,51
See,69
Increased,39
Low,42
rates,45
generous,45
collectively,42
contributed,42
prices,69
dizzying,39
heights,45
makers,153
sayDealBook,30
hein,60
Owners,30
Make,48
Warren,48
buffets,30
berkshires,30
pathway,33
og,42
Capital,150
expansion,51
intend,33
Firm,51
Founder,30
Indicted,30
Lawrence,78
III,60
Camelot,30
accused,42
prosecutors,39
stealing,36
93,72
luxury,87
payments,39
rent,54
Post,57
Prosecutors,30
sewers,36
arrested,69
POST,30
Aeropostale,60
Considers,30
Tapping,30
teen,30
clothing,60
retailer,42
HEDGE,36
FUNDS,36
ican,72
Ends,36
Call,39
Stock,78
Buyback,72
activist,57
Carl,84
backed,63
proposal,120
increase,126
buyback,36
opposition,51
Investor,84
Calls,39
Sale,36
Troy,75
Unveils,36
outstanding,48
550,42
sachet,36
enoughDealBook,36
Successful,45
Quantum,72
Endowment,36
successful,191
dollar,51
gains,81
catch,93
avoid,111
scrutiny,36
tops,36
Alphaville,36
determine,123
ALPHAVILLE,36
IPOOFFERINGS,42
Drawn,42
Market,54
clash,57
accounting,51
practices,81
Beijing,54
heading,75
2010,117
Virgin,87
Said,51
Move,42
Toward,45
airline,69
brandon,54
selected,93
underwriters,48
preparation,57
Gilt,84
Likely,42
Public,96
Year,51
manage,84
RECODE,96
Pork,42
Producer,42
Enlists,42
pork,45
acquired,141
Smithfield,42
Foods,45
designated,48
upcoming,48
aims,87
Hong,48
Kong,54
VENTURE,48
CAPITAL,48
Tech,111
Entrepreneurs,48
Degree,48
Liability,48
hamate,48
Palihapitiya,48
elite,57
disadvantage,51
attracting,60
capitalDealBook,48
Recent,75
Bolster,60
zings,60
NaturalMotion,60
abuzz,63
shaman,108
Expected,54
Raise,54
discover,99
valuation,54
london,66
Venture,81
Scene,54
Outside,63
London,129
LEGALREGULATORY,48
Sued,48
morgan,48
Pact,48
nonprofit,96
Markets,54
violated,54
constitutional,66
separation,48
struck,81
bankDealBook,48
Court,66
Rejects,48
Appeal,48
Case,66
appealed,51
compliance,48
antitrust,51
laws,75
Regulator,48
Plans,54
Overhaul,48
Arbitration,48
Industry,57
Regulatory,48
Authority,51
brokerage,105
selfregulator,48
arbitrator,48
Sign,54
afternoon,90
Apps,3
Chinabased,3
waitin,3
facilitate,12
tickets,66
rides,15
Messenger,21
Messengerdriven,3
reservations,12
Created,18
cream,30
filling,27
vanilla,12
Twinkies,6
em,21
hate,45
emblematic,12
junk,24
food,147
39,45
ingredients,18
shamelessly,6
empty,24
calories,9
officially,24
shelf,24
Twinkie,6
creamfilled,6
symbol,21
mysterious,42
longevity,9
earned,54
joke,51
pairs,39
postapocalyptic,12
enginestumble,3
hoh,9
Journalism,12
630,21
Free,30
livestream,6
dressed,18
militaristic,3
outfits,9
painted,18
constructivist,3
arch,3
routines,33
drum,24
kits,15
lip,9
singer,57
rumbled,3
horrormovie,6
Decade,3
Null,3
Mute,3
sounded,24
helicopter,30
evoked,18
Everlasting,3
Union,66
moslems,3
filtered,3
Woodblock,3
concentration,9
camps,15
Redwood,9
Shores,6
statistics,63
buys,12
impressions,9
publishers,12
optimize,9
user,144
geography,6
demographics,6
STEPFORD,9
WIVES,9
Starring,9
Nicole,24
kidnap,21
Glenn,24
Directed,81
Oz,45
110,24
remake,27
fullscale,15
adaptation,90
Ira,9
nevins,12
dry,39
efficient,72
suburban,12
gothic,9
dusty,9
thriller,63
loud,30
shiny,18
postmodern,15
farce,24
Arnold,51
demented,15
campy,24
performances,105
Closes,12
matriarch,15
Stepford,24
Conn,27
Joanna,15
Eberhart,9
retreats,12
collapses,9
roderick,18
Once,129
discovers,33
busty,9
cheerful,12
fulfill,18
husbands,9
screenwriter,27
Paul,108
rednecks,12
gags,9
loneliness,42
sly,15
incisive,9
satiric,9
collapsing,12
incoherent,9
wishywashy,9
haveitall,9
sentimentality,18
mark,33
evaporated,12
individuality,9
aesthetic,21
beside,12
Think,48
signature,24
elitism,9
metalandpolymer,9
pocket,33
identities,24
unquestioned,9
Kleenex,9
sixpack,9
soda,21
nice,69
innovations,39
bag,30
oranges,9
wriggling,9
infant,24
squeezing,9
2yearold,18
traffic,99
checkout,12
counter,21
Socratic,3
rudiments,6
Hermes,3
explaining,24
principles,45
heuristic,6
True,21
unintelligible,3
illiterates,3
tons,27
bro,12
encounters,33
textbooks,9
erudite,3
mainly,54
mouthpiece,6
droll,9
exciting,54
chaos,33
piece,147
Kills,3
Y,27
Vice,33
Versa,3
faithfully,12
genderconfused,3
heroine,15
popping,9
emerged,24
Silovsky,12
chanced,3
animatronic,6
controller,36
wood,18
saws,9
Osaka,3
frees,18
Corbusiers,6
Heddatron,21
maxwell,6
Joe,78
measuring,33
oversteer,6
Normally,6
manually,15
wear,51
Documentary,9
21,102
Whatever,27
documentaries,30
allnonfiction,9
edition,36
Museum,96
Moving,24
Images,9
recurring,15
broaden,21
horizons,12
selections,27
doubt,87
immersion,12
Errol,33
morris,27
Fast,54
Cheap,33
Out,54
Control,39
fourstrand,9
topiary,27
Lessons,12
Darkness,15
Werner,9
heroes,21
burning,18
kuwait,9
oil,75
Leviathan,9
lucian,9
CastaingTaylor,9
vena,9
travels,30
portrait,48
fishing,18
Avenue,78
astrid,9
Queens,32
7187840077,9
movingimageus,9
Kenigsberg,9
ObjectivesStudents,20
Learn,35
Investigate,21
implemented,6
clenched,3
torrent,3
revitalizing,3
cursory,6
brainpower,3
trial,33
Mothers,6
Little,69
Helper,6
Version,12
Efficient,6
Cuddly,6
department,120
Jeremy,21
MaitinShepard,6
Assistant,21
Prof,15
Pieter,9
abbey,12
locate,30
neatly,15
fold,15
towels,24
sizes,18
textures,6
towel,12
highresolution,18
adjacent,15
folding,12
smoothing,9
stacking,15
deformable,6
maintain,30
constant,39
Clog,12
UC,24
newscaster,6
Evening,6
Frying,3
Pan,6
Pier,18
66,54
blind,24
date,120
lynn,15
Marie,12
Rosenberg,9
sociable,15
attempted,15
limbless,3
sleek,33
expression,39
ennui,3
tended,15
evade,3
grandiose,18
non,6
sequitur,6
Oh,42
glory,3
cleverness,6
awesome,15
curiosity,9
nonetheless,6
blame,21
exposed,9
hype,42
childhood,15
Rosie,6
maid,18
reasons,90
weird,27
garbageman,3
Lost,57
contemporary,42
robotsgonewild,3
films,162
rationalism,3
prepared,24
bowled,3
adorable,18
Leo,51
accomplishment,15
Hawking,105
equip,15
outsmart,9
presents,51
grave,12
danger,51
Omni,3
Consumer,18
Products,15
conglomerate,6
Detroit,15
luckily,3
muscular,6
gun,36
menace,21
missiles,21
blend,33
gaining,33
homing,3
targets,30
involvement,12
bells,6
Rights,12
Watch,54
train,54
worldclass,6
organize,24
promote,36
tournaments,24
outreach,9
departments,18
Ackermansion,3
tours,12
rooms,45
Bela,3
Lugosis,3
Dracula,6
cape,9
Lon,9
chaney,3
fanged,9
dentures,3
props,3
aliens,48
claws,15
listed,33
Horrorwood,3
Karloffornia,3
nickname,9
sorry,15
Internal,3
Revenue,9
embark,12
agency,171
Taxpayers,18
Canada,30
lacks,30
quotas,3
shifts,30
milk,6
farmers,6
borrow,9
install,30
barn,3
Reinemann,3
farms,12
millers,3
RIMs,12
matchup,18
encouraging,24
2009,36
driverlesscar,6
messaging,15
arrangement,24
knack,9
return,96
automobile,30
departure,15
veered,6
Hollywoodstyle,3
leaned,9
accident,66
fenderbender,3
fooled,18
kids,108
finished,66
explosion,66
balloon,3
shoot,42
suspicious,24
poetry,66
interviewed,30
Kanye,33
reputation,12
unrestrained,6
ego,15
curious,36
sunup,12
Flashing,6
Lights,6
vocalist,9
breathy,6
hook,12
Shed,6
flehshinnnn,6
levee,6
attendant,21
sexy,21
steadily,36
peoples,60
opinions,27
remember,66
wearing,69
Peewee,6
Herman,9
Dunks,6
hanger,6
laughed,9
sneakers,9
Yves,12
Saint,9
Laurent,9
halfhour,6
